r_start,particle_concentration,particle_diameter,reynolds_number,target
-0.879882364,0.1,6,4,-0.70514214
-0.34367614,0.1,6,4,-0.55135006
0.25510628,0.1,6,4,0.94004806
-0.64593346,0.1,6,4,-0.940060796
-0.44674312,0.1,6,4,-0.83293768
0.48871476,0.1,6,4,-0.3149865
-0.09208984,0.1,6,4,-0.78899844
-0.52606704,0.1,6,4,-0.940005312
-0.48518288,0.1,6,4,-0.68295102
-0.12682464,0.1,6,4,-0.2786293
-0.51973342,0.1,6,4,-0.6736678
0.5842624,0.1,6,4,0.8361229
0.19928466,0.1,6,4,0.43678878
0.77744874,0.1,6,4,0.94003754
-0.875819436,0.1,6,4,-0.836177482
-0.25328582,0.1,6,4,-0.48952004
-0.867032776,0.1,6,4,-0.71858042
-0.27379196,0.1,6,4,-0.23804986
-0.20974412,0.1,6,4,-0.940002318
-0.74402272,0.1,6,4,-0.935791102
-0.77752418,0.1,6,4,-0.836155452
0.18143196,0.1,6,4,-0.7411038
0.24441268,0.1,6,4,0.93533554
0.47877014,0.1,6,4,0.9400351
0.67865296,0.1,6,4,0.45272736
0.44835922,0.1,6,4,-0.5284592
-0.12088256,0.1,6,4,-0.940066056
0.57125702,0.1,6,4,-0.857872696
-0.23967072,0.1,6,4,-0.836206836
-0.10568824,0.1,6,4,-0.836146546
-0.4433192,0.1,6,4,-0.49011238
-0.72338436,0.1,6,4,-0.836146126
-0.15937394,0.1,6,4,-0.836084556
0.32875686,0.1,6,4,0.94001068
-0.860943318,0.1,6,4,-0.75544088
0.45853074,0.1,6,4,0.66520568
-0.08979858,0.1,6,4,-0.26022506
0.69571488,0.1,6,4,0.94001144
0.65871948,0.1,6,4,0.52704468
0.02930206,0.1,6,4,0.94001358
0.73246628,0.1,6,4,0.94000672
0.6333014,0.1,6,4,0.56252274
0.73551606,0.1,6,4,0.9400058
-0.7235738,0.1,6,4,-0.41935906
-0.0359497,0.1,6,4,-0.73195376
-0.6258529,0.1,6,4,-0.836143704
0.11502762,0.1,6,4,-0.25028252
0.04204216,0.1,6,4,-0.01551484
-0.45844688,0.1,6,4,-0.829791432
-0.19457566,0.1,6,4,-0.62128682
-0.78621644,0.1,6,4,-0.940081578
0.24484176,0.1,6,4,-0.93384119
-0.49892738,0.1,6,4,-0.940005836
-0.55809898,0.1,6,4,-0.940085172
-0.73688076,0.1,6,4,-0.836166934
0.68704484,0.1,6,4,0.48422958
0.0295797,0.1,6,4,0.30436554
0.61805664,0.1,6,4,0.39660264
0.3811612,0.1,6,4,0.78566848
-0.60073304,0.1,6,4,-0.94006608
0.5609076,0.1,6,4,0.94000458
-0.6983525,0.1,6,4,-0.66108304
-0.61038238,0.1,6,4,-0.55683258
-0.1167183,0.1,6,4,-0.51782268
0.10726196,0.1,6,4,-0.62819766
0.5245842,0.1,6,4,0.562753
0.5359697,0.1,6,4,0.52758392
0.1983561,0.1,6,4,-0.836111584
0.49062942,0.1,6,4,0.94007584
-0.22028244,0.1,6,4,-0.879305344
-0.7280239,0.1,6,4,-0.73223524
-0.27772872,0.1,6,4,-0.78608278
0.37920594,0.1,6,4,-0.836180744
-0.44598834,0.1,6,4,-0.94005145
0.20705094,0.1,6,4,0.36718094
-0.23449752,0.1,6,4,-0.94005599
-0.67250084,0.1,6,4,-0.78842012
-0.10061782,0.1,6,4,-0.940025726
0.01178054,0.1,6,4,-0.60605884
-0.57726146,0.1,6,4,-0.940048948
0.6684372,0.1,6,4,0.88540848
-0.79503914,0.1,6,4,-0.94002942
-0.4547615,0.1,6,4,-0.82029543
-0.874848338,0.1,6,4,-0.62466506
-0.05947854,0.1,6,4,-0.71968828
0.80888534,0.1,6,4,0.2221907
0.6975113,0.1,6,4,0.84717682
-0.5963998,0.1,6,4,-0.27221428
0.5113353,0.1,6,4,0.66968978
-0.33976196,0.1,6,4,-0.896078988
0.30632766,0.1,6,4,-0.30190284
-0.17483108,0.1,6,4,-0.940064358
0.63513092,0.1,6,4,0.55957504
-0.27733696,0.1,6,4,-0.836172752
0.34193176,0.1,6,4,0.57465652
0.15767098,0.1,6,4,-0.80702616
0.49622986,0.1,6,4,0.64094162
-0.58096984,0.1,6,4,-0.940013118
0.746427,0.1,6,4,0.94000412
-0.79235408,0.1,6,4,-0.940004386
0.43580704,0.1,6,4,0.9400232
-0.55999432,0.1,6,4,-0.821102658
0.33923462,0.1,6,4,0.7322612
0.41676652,0.1,6,4,0.83617248
0.86677582,0.1,6,4,0.94000778
0.5408371,0.1,6,4,0.80671066
0.00591904,0.1,6,4,-0.916257506
0.49215072,0.1,6,4,0.80755538
0.71686692,0.1,6,4,0.83616318
-0.855436782,0.1,6,4,-0.40240112
-0.74256944,0.1,6,4,-0.836123638
-0.734427,0.1,6,4,-0.94002781
0.19242424,0.1,6,4,0.52273818
0.58608964,0.1,6,4,0.31928376
0.7337535,0.1,6,4,0.94000518
-0.00564126,0.1,6,4,-0.921995926
0.09213226,0.1,6,4,0.94000886
-0.15058784,0.1,6,4,0.27677506
-0.3394349,0.1,6,4,-0.859741784
-0.26698266,0.1,6,4,-0.8329916
0.44438034,0.1,6,4,0.0735775
-0.79520054,0.1,6,4,-0.94
0.17851814,0.1,6,4,-0.31572242
0.33287322,0.1,6,4,-0.40699214
0.35022706,0.1,6,4,0.84585618
0.28575256,0.1,6,4,-0.26412026
0.84598954,0.1,6,4,0.94000412
-0.22178192,0.1,6,4,-0.73522758
-0.80481838,0.1,6,4,-0.940073572
0.4655719,0.1,6,4,0.82225846
0.48120346,0.1,6,4,0.9400502
-0.57115426,0.1,6,4,-0.65980724
-0.21951218,0.1,6,4,-0.83457964
0.51789306,0.1,6,4,0.83524688
-0.79080456,0.1,6,4,-0.940047802
-0.12630524,0.1,6,4,-0.940058488
0.5117424,0.1,6,4,0.64417068
0.84384308,0.1,6,4,0.64618424
0.3126059,0.1,6,4,0.80776688
0.70608444,0.2,6,4,0.80353698
0.80334732,0.2,6,4,0.94003708
-0.13121772,0.2,6,4,-0.940061446
-0.11371956,0.2,6,4,-0.31893036
-0.73490902,0.2,6,4,-0.57505902
-0.2658628,0.2,6,4,-0.45631844
0.37873748,0.2,6,4,-0.47646672
0.03783982,0.2,6,4,0.9056723
-0.6588778,0.2,6,4,0.25503472
0.78110032,0.2,6,4,0.94015946
-0.24689338,0.2,6,4,-0.836391812
0.79149048,0.2,6,4,0.83627244
-0.16116516,0.2,6,4,-0.42312934
-0.5061224,0.2,6,4,0.21741104
-0.2072651,0.2,6,4,0.3099411
-0.835287896,0.2,6,4,-0.81598384
0.44443238,0.2,6,4,-0.939822436
0.1769703,0.2,6,4,-0.53528568
-0.29727402,0.2,6,4,-0.0426979
0.03984932,0.2,6,4,-0.33445976
-0.83382042,0.2,6,4,-0.08386016
0.2258548,0.2,6,4,-0.03696464
-0.76101792,0.2,6,4,0.77970596
-0.73144002,0.2,6,4,-0.80351434
0.04727326,0.2,6,4,0.94003936
0.19634446,0.2,6,4,-0.62845668
-0.47283382,0.2,6,4,-0.78603054
0.34967118,0.2,6,4,-0.57976174
0.53450806,0.2,6,4,-0.73229554
0.73429626,0.2,6,4,0.94007492
0.21262168,0.2,6,4,-0.7161794
0.01195496,0.2,6,4,0.25928582
-0.59441784,0.2,6,4,0.94002014
-0.21553024,0.2,6,4,-0.71787506
-0.12008584,0.2,6,4,-0.27160514
-0.47962174,0.2,6,4,-0.940081706
0.47023742,0.2,6,4,0.4939891
-0.08525704,0.2,6,4,-0.92257739
-0.57810208,0.2,6,4,-0.6989035
0.84764206,0.2,6,4,0.9400325
0.72722474,0.2,6,4,-0.73224722
-0.27293732,0.2,6,4,0.50546158
0.1860427,0.2,6,4,-0.2446933
-0.62952548,0.2,6,4,-0.940090204
-0.46565438,0.2,6,4,0.9400055
-0.22606628,0.2,6,4,0.23353096
0.21187226,0.2,6,4,-0.45354442
0.59585418,0.2,6,4,0.08308648
0.85792968,0.2,6,4,0.94002792
-0.23904656,0.2,6,4,-0.63503666
-0.44199204,0.2,6,4,-0.01826568
-0.57783782,0.2,6,4,-0.836145726
-0.75235108,0.2,6,4,-0.935334502
0.28680176,0.2,6,4,0.70962052
-0.13199386,0.2,6,4,-0.901408414
0.20478684,0.2,6,4,0.74369156
0.14531662,0.2,6,4,0.17446282
-0.52556626,0.2,6,4,-0.52700504
-0.7303404,0.2,6,4,-0.940097194
-0.13379838,0.2,6,4,0.13259392
0.4500261,0.2,6,4,0.90223618
0.83031692,0.2,6,4,0.94012832
-0.28606018,0.2,6,4,-0.939674616
0.75959534,0.2,6,4,0.02538552
-0.63625904,0.2,6,4,-0.03309868
0.22162652,0.2,6,4,0.46987304
-0.833538704,0.2,6,4,-0.39084664
0.82200364,0.2,6,4,0.43873826
0.15619652,0.2,6,4,-0.6483221
-0.05497254,0.2,6,4,-0.15194488
0.52738968,0.2,6,4,0.9400673
0.01706474,0.2,6,4,-0.1695781
-0.69427952,0.2,6,4,-0.836207942
0.74354446,0.2,6,4,-0.73222978
0.8286499,0.2,6,4,0.9400064
0.66961792,0.2,6,4,-0.46710208
0.62253144,0.2,6,4,-0.07829018
-0.73726244,0.2,6,4,-0.6862918
0.59958602,0.2,6,4,-0.31923248
0.68646682,0.2,6,4,-0.08571816
-0.21415802,0.2,6,4,0.69016616
-0.82210619,0.2,6,4,-0.940088034
0.5932199,0.2,6,4,0.0538131
0.6283017,0.2,6,4,0.7373233
-0.4177393,0.2,6,4,-0.25890274
0.3188527,0.2,6,4,0.74373962
-0.54957978,0.2,6,4,-0.7324481
0.6079477,0.2,6,4,-0.69866844
-0.45526718,0.2,6,4,-0.172397
-0.19210838,0.2,6,4,-0.62835938
0.64551072,0.2,6,4,0.75115052
0.54554276,0.2,6,4,0.9400119
0.6875734,0.2,6,4,0.94000366
-0.77931834,0.2,6,4,-0.836132278
0.77369812,0.2,6,4,-0.62836296
-0.31011498,0.2,6,4,0.72365524
-0.61643448,0.2,6,4,-0.80951652
0.63656738,0.2,6,4,0.9401535
-0.55583374,0.2,6,4,-0.67919598
-0.33142296,0.2,6,4,0.6473497
0.1692675,0.2,6,4,0.37723114
0.15616318,0.2,6,4,0.32609588
-0.04519036,0.2,6,4,0.14454804
0.0796231,0.2,6,4,-0.55763286
-0.37276818,0.2,6,4,0.17424156
-0.1643341,0.2,6,4,0.70524628
-0.44455528,0.2,6,4,-0.2013565
-0.834518432,0.2,6,4,0.18545334
0.6103769,0.2,6,4,0.94001678
-0.837791138,0.2,6,4,0.3725592
0.3662091,0.2,6,4,0.4126059
-0.00386376,0.2,6,4,0.73224122
0.0602021,0.2,6,4,0.71990708
0.1224405,0.2,6,4,0.62739548
-0.05285934,0.2,6,4,-0.73242098
-0.14611466,0.2,6,4,-0.940009732
-0.53937862,0.2,6,4,-0.80146232
-0.16089744,0.2,6,4,-0.11533944
-0.00204116,0.2,6,4,0.2776738
-0.59996902,0.2,6,4,0.6128894
0.6330597,0.2,6,4,0.09442382
-0.11045052,0.2,6,4,-0.19654824
-0.38805256,0.2,6,4,-0.40830238
0.6316388,0.2,6,4,0.9400148
-0.874564724,0.2,6,4,0.08272278
0.2261113,0.2,6,4,0.8362088
-0.76518428,0.2,6,4,-0.940110646
0.48802474,0.2,6,4,0.35318192
-0.72318398,0.2,6,4,0.10864296
0.08593918,0.2,6,4,0.26591506
-0.1926619,0.2,6,4,-0.940005912
0.77645812,0.2,6,4,0.38753998
-0.80070424,0.2,6,4,-0.55999244
0.37642396,0.2,6,4,-0.940008874
0.48271134,0.2,6,4,0.90017944
0.35325164,0.2,6,4,-0.32116066
0.0886782,0.2,6,4,-0.7839292
-0.40498818,0.2,6,4,-0.7061291
-0.33048454,0.2,6,4,-0.18918656
-0.22277076,0.2,6,4,-0.837755794
-0.24318824,0.2,6,4,-0.82485073
-0.50385974,0.2,6,4,0.03593056
-0.04952606,0.2,6,4,0.68311966
0.02705848,0.2,6,4,0.1561634
0.7280687,0.2,6,4,-0.42039066
0.05563774,0.2,6,4,-0.02229492
-0.44072636,0.2,6,4,-0.48476254
-0.71289002,0.2,6,4,0.94002518
0.8497142,0.2,6,4,0.21982644
0.35604278,0.2,6,4,-0.18253258
0.25131096,0.2,6,4,0.73154876
-0.12225426,0.2,6,4,-0.73228886
0.64293548,0.2,6,4,-0.4184
0.6198198,0.2,6,4,-0.75291258
0.72578522,0.2,6,4,0.94002472
0.26552582,0.2,6,4,0.94007904
-0.589015,0.2,6,4,-0.13266526
0.44633362,0.2,6,4,0.77537536
-0.613945,0.2,6,4,0.83615784
-0.832202758,0.2,6,4,-0.79029916
-0.46355606,0.2,6,4,-0.27684304
-0.00278664,0.2,6,4,-0.915563908
-0.19194648,0.2,6,4,0.5421608
0.31562042,0.2,6,4,-0.73229018
-0.47815368,0.2,6,4,-0.836194726
0.61048234,0.2,6,4,0.9400055
-0.70933358,0.2,6,4,-0.35836586
0.41298722,0.2,6,4,-0.29881912
0.4310524,0.2,6,4,0.83622924
0.74238586,0.2,6,4,0.65114852
0.62972626,0.2,6,4,0.04869774
0.14783066,0.2,6,4,0.77891694
0.10229706,0.2,6,4,-0.39308734
0.51421006,0.2,6,4,-0.31061004
-0.02437592,0.2,6,4,-0.73227862
-0.5336853,0.2,6,4,-0.940049428
-0.23280014,0.2,6,4,-0.19337204
0.2147107,0.2,6,4,0.9400267
-0.7551037,0.2,6,4,-0.94000082
0.84188584,0.2,6,4,0.0205368
-0.63915764,0.2,6,4,-0.940041986
-0.56090474,0.2,6,4,-0.910666228
-0.22439538,0.2,6,4,0.83609376
0.4645877,0.2,6,4,-0.20614762
0.2527855,0.2,6,4,0.83619216
-0.07271446,0.2,6,4,-0.836142426
0.78389038,0.2,6,4,0.94000596
0.77398788,0.2,6,4,0.32170746
-0.7769947,0.2,6,4,-0.94007502
0.87518128,0.2,6,4,0.94023056
-0.03341438,0.2,6,4,-0.836150646
-0.87135416,0.2,6,4,-0.25521996
-0.21845504,0.2,6,4,-0.939450206
-0.58378762,0.2,6,4,-0.5213623
-0.52276832,0.2,6,4,0.92659424
0.71576462,0.2,6,4,0.94001984
0.35249894,0.2,6,4,-0.0787545
-0.36139802,0.2,6,4,0.94009704
0.2846527,0.2,6,4,0.53425888
-0.43394882,0.2,6,4,-0.0110865
-0.2515033,0.2,6,4,0.70758544
0.6427478,0.2,6,4,0.83611282
0.01592072,0.2,6,4,0.7071666
0.54210602,0.2,6,4,0.83619934
-0.42220222,0.2,6,4,-0.62837188
-0.8434095,0.2,6,4,0.35525588
-0.1223774,0.2,6,4,0.82224136
-0.3712642,0.2,6,4,0.48002778
0.3293518,0.2,6,4,-0.46807988
0.86103196,0.2,6,4,0.94006088
0.44149888,0.2,6,4,0.94002762
0.1487648,0.2,6,4,0.82536988
-0.3845937,0.2,6,4,-0.940000792
-0.85938652,0.2,6,4,-0.940153708
0.75094924,0.2,6,4,0.3264972
0.69256942,0.2,6,4,0.25520012
0.30619858,0.2,6,4,-0.75570848
-0.58844844,0.2,6,4,-0.45913158
-0.71569248,0.2,6,4,-0.938488112
-0.69235856,0.2,6,4,0.41079956
-0.838952026,0.2,6,4,-0.83622242
0.27312286,0.2,6,4,-0.27067544
-0.75405058,0.2,6,4,0.2502501
0.8603534,0.2,6,4,0.9400856
-0.14148788,0.2,6,4,0.83875016
-0.854396724,0.2,6,4,-0.940028944
0.7666986,0.2,6,4,-0.62860402
-0.2190963,0.2,6,4,-0.940090546
0.72870162,0.2,6,4,-0.42156558
0.63548386,0.2,6,4,0.83623718
0.37531402,0.2,6,4,0.94004014
-0.04758042,0.2,6,4,-0.73225728
-0.32909378,0.2,6,4,-0.52634808
-0.38189682,0.2,6,4,-0.940043402
0.80569946,0.2,6,4,0.9400673
0.8736319,0.2,6,4,0.94002366
0.10913132,0.2,6,4,-0.62837136
-0.35966836,0.2,6,4,-0.78414476
0.2257734,0.2,6,4,0.361698
-0.39914246,0.2,6,4,-0.83620243
0.28254684,0.2,6,4,0.94001968
-0.826791382,0.2,6,4,0.2969217
0.24615044,0.2,6,4,-0.59414746
0.23091682,0.2,6,4,0.83614518
-0.26845428,0.2,6,4,0.58819076
0.39848648,0.2,6,4,-0.940035058
0.66576508,0.2,6,4,0.83612106
-0.14549874,0.2,6,4,-0.09830246
-0.8014382,0.2,6,4,-0.836201076
0.72012024,0.2,6,4,0.82222336
0.66490998,0.2,6,4,-0.7031241
0.27921554,0.2,6,4,-0.940045876
0.46615066,0.2,6,4,0.52068818
-0.68646588,0.2,6,4,-0.836202488
0.08842666,0.2,6,4,0.82476516
0.60893218,0.2,6,4,0.83017776
0.62460128,0.2,6,4,-0.0789579
-0.56040848,0.2,6,4,-0.836189384
-0.30465096,0.2,6,4,0.42111664
0.6585228,0.2,6,4,0.94010254
0.65275956,0.2,6,4,0.94000564
-0.37360916,0.2,6,4,-0.73232242
-0.63357758,0.2,6,4,-0.899405098
-0.09407456,0.2,6,4,-0.18019028
-0.57748924,0.2,6,4,-0.6366008
0.11427146,0.2,6,4,-0.54992558
0.81618118,0.2,6,4,-0.34242202
0.79677642,0.2,6,4,0.7611615
0.47405228,0.2,6,4,0.32245316
-0.54121094,0.2,6,4,-0.836212502
-0.10862542,0.2,6,4,0.70021926
-0.48999764,0.2,6,4,0.46204528
0.49283188,0.2,6,4,-0.32834396
0.03411796,0.2,6,4,-0.884508132
0.14908814,0.2,6,4,0.53757432
0.03072182,0.2,6,4,-0.821878452
-0.71946962,0.2,6,4,-0.9402955
-0.05829796,0.2,6,4,-0.836153374
0.42360352,0.2,6,4,-0.55847152
-0.16538796,0.2,6,4,-0.862459154
0.02981842,0.2,6,4,-0.56930274
-0.54167668,0.2,6,4,-0.73255578
-0.60852578,0.2,6,4,-0.442924
0.75251068,0.2,6,4,-0.31601356
-0.3959682,0.2,6,4,-0.11641242
-0.0478151,0.2,6,4,0.70755126
0.47121734,0.2,6,4,0.83549346
-0.01399224,0.2,6,4,0.28958724
0.35497894,0.2,6,4,-0.836122894
0.4088884,0.2,6,4,-0.3346585
0.3704132,0.2,6,4,-0.94004109
0.72790756,0.2,6,4,0.24008942
0.3824022,0.2,6,4,0.6037848
-0.15325454,0.2,6,4,0.94004394
-0.5468399,0.2,6,4,0.4984903
-0.38433826,0.2,6,4,-0.69830162
-0.20772064,0.2,6,4,-0.94008399
-0.02442162,0.2,6,4,-0.35173774
-0.17260468,0.2,6,4,0.41722886
-0.86797144,0.2,6,4,-0.836290988
-0.68750142,0.2,6,4,0.73224136
-0.40054162,0.2,6,4,-0.940004382
0.3207315,0.2,6,4,0.0004879
0.31078826,0.2,6,4,0.70323928
-0.45673286,0.2,6,4,-0.836180268
-0.36661004,0.2,6,4,-0.01818612
-0.25563316,0.2,6,4,-0.940080094
-0.67945946,0.2,6,4,0.47108978
0.83074692,0.2,6,4,0.34997848
0.39647812,0.2,6,4,0.31736466
-0.43010688,0.2,6,4,-0.64938236
0.17776818,0.2,6,4,0.04551514
0.16097954,0.2,6,4,-0.62859916
-0.4296883,0.2,6,4,0.68994476
-0.74448458,0.2,6,4,0.77154984
-0.6254126,0.2,6,4,-0.06544784
0.09024476,0.2,6,4,0.70590164
0.39603974,0.2,6,4,-0.25207604
0.00977478,0.2,6,4,0.94001464
0.62554032,0.2,6,4,0.90415558
0.38723236,0.2,6,4,0.70779052
-0.26389756,0.2,6,4,-0.63658902
-0.282303,0.2,6,4,-0.62853928
-0.01820854,0.2,6,4,-0.8828333
0.50349288,0.2,6,4,0.35751754
0.69314026,0.2,6,4,0.8361052
0.42041932,0.2,6,4,-0.79714984
-0.62336278,0.2,6,4,-0.38846088
0.05017074,0.2,6,4,0.03211106
-0.54539742,0.2,6,4,-0.94003406
0.42914764,0.2,6,4,0.82944076
0.1184465,0.2,6,4,-0.940074964
-0.54964104,0.2,6,4,-0.0158332
0.04049386,0.2,6,4,-0.836298828
0.80906998,0.2,6,4,0.94006042
-0.82236847,0.2,6,4,-0.836135712
-0.64082558,0.2,6,4,-0.940074
-0.44319874,0.2,6,4,-0.87078537
0.314234,0.2,6,4,0.9105725
-0.22088714,0.2,6,4,-0.321307
-0.3092717,0.2,6,4,-0.940041356
-0.41174648,0.2,6,4,0.01918572
-0.78003216,0.2,6,4,-0.94005022
-0.62552452,0.2,6,4,-0.82087368
0.596651,0.2,6,4,-0.74363494
-0.5170784,0.2,6,4,-0.33646286
0.10887794,0.2,6,4,0.83612076
0.01722184,0.2,6,4,0.07506966
0.6374025,0.2,6,4,-0.48848534
-0.68156266,0.2,6,4,-0.9400068
0.02450478,0.2,6,4,-0.79078288
-0.739137,0.2,6,4,0.9006549
0.52071258,0.2,6,4,0.94000106
-0.20156936,0.2,6,4,0.54082138
0.7769609,0.3,6,4,0.94001724
0.26269866,0.3,6,4,0.94012208
0.05283416,0.3,6,4,-0.60694374
0.0060785,0.3,6,4,0.5199289
0.4336258,0.3,6,4,-0.11711266
0.02575668,0.3,6,4,0.24472648
-0.71070768,0.3,6,4,0.13114876
0.86566238,0.3,6,4,0.54326812
0.18444732,0.3,6,4,-0.940007234
0.60732636,0.3,6,4,-0.4082486
-0.06005982,0.3,6,4,0.60355408
0.5180362,0.3,6,4,-0.33171768
0.26594666,0.3,6,4,0.81449508
0.06294876,0.3,6,4,-0.2080159
-0.851819554,0.3,6,4,-0.72236598
0.39472626,0.3,6,4,0.49109162
0.5739537,0.3,6,4,0.83818696
-0.06388252,0.3,6,4,-0.20582566
-0.38819272,0.3,6,4,-0.940009084
0.75998138,0.3,6,4,0.5475595
0.36221038,0.3,6,4,0.10745682
0.68068634,0.3,6,4,0.47150788
0.68990936,0.3,6,4,-0.33164132
-0.32536744,0.3,6,4,0.38086686
-0.7020323,0.3,6,4,-0.58356968
